Attack_1,,,,,,,,
AttackFrame,‡T:5,‡U:10,‡V:10,‡W:10,,,,
,,,,,,,,
,,2,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:10,‡U:20,‡V:10,‡W:10,,,,
,,,,,,,,
,,3,,,,,,
,3,2,3,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:10,‡U:20,‡V:10,‡W:10,,,,
,,,,,,,,
,,3,,,,,,
,3,2,3,,,,,
,3,2,3,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:0,‡U:10,‡V:15,‡W:15,‡X:15,‡Y:10,‡Z:10,‡[:10
,,,,,,,,
,,,7,,,,,
,,,6,,,,,
,,5,5,5,,,,
,,4,4,4,,,,
,3,3,3,3,3,,,
,2,2,2,2,2,,,
,,,1,,,,,
