Attack_1,,,,,,,,
AttackFrame,‡T:1,‡U:10,‡V:10,‡W:10,,,,
,,,,,,,,
,,2,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:5,‡U:5,‡V:5,‡W:5,,,,
,,,,,,,,
,,5,,,,,,
,,4,,,,,,
,,3,,,,,,
,,2,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:5,‡U:5,‡V:5,‡W:5,‡X:5,‡Y:5,‡Z:5,‡[:5
,,,,,,,,
,,9,,,,,,
,,8,,,,,,
,,7,,,,,,
,,6,,,,,,
,,5,,,,,,
,,4,,,,,,
,,3,,,,,,
,,2,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:10,‡U:25,‡V:15,‡W:15,‡X:10,‡Y:10,‡Z:10,‡[:10
,,,,,,,,
,,,5,,,,,
,,5,4,5,,,,
,5,4,3,4,5,,,
5,4,3,2,3,4,5,,
,5,4,3,4,5,,,
,,5,4,5,,,,
,,,5,,,,,
,,,,,,,,
,,,1,,,,,
