Attack_1,,,,,,,,
AttackFrame,‡T:10,‡U:10,‡V:10,‡W:20,,,,
,,,,,,,,
,,2,,,,,,
,,,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:10,‡U:15,‡V:20,‡W:25,,,,
,,,,,,,,
,2,2,2,,,,,
,,2,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:10,‡U:15,‡V:20,‡W:25,,,,
,,,,,,,,
,3,,3,,3,,,
,,2,2,2,,,,
,,,2,,,,,
,,,1,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:10,‡U:10,‡V:50,‡W:10,‡X:10,‡Y:10,‡Z:10,‡[:10
,,,,,,,,
,4,4,4,4,4,4,4,
,4,4,4,4,4,4,4,
,,3,3,3,3,3,,
,,2,2,2,2,2,,
,,,,1,,,,
