Attack_1,,,,,,,,
AttackFrame,‡T:1,‡U:10,‡V:10,‡W:10,,,,
,,,,,,,,
,,2,,,,,,
,,1,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:5,‡U:5,‡V:5,‡W:5,,,,
,,,,,,,,
,,2,,,,,,
,2,2,2,,,,,
,,2,,,,,,
,,,,,,,,
,,1,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:3,‡U:3,‡V:3,‡W:3,‡X:3,‡Y:3,‡Z:3,‡[:3
,,,,,,,,
,3,3,3,,,,,
,3,2,3,,,,,
,3,3,3,,,,,
,,,,,,,,
,,1,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LevelUp,,,,,,,,
AttackFrame,‡T:0,‡U:20,‡V:15,‡W:15,‡X:10,‡Y:10,‡Z:10,‡[:10
,,,,,,,,
,,,5,,,,,
,,5,4,5,,,,
,5,4,3,4,5,,,
5,4,3,2,3,4,5,,
,5,4,3,4,5,,,
,,5,4,5,,,,
,,,5,,,,,
,,,,,,,,
,,,1,,,,,
