POS,175,0,-250,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
,0,5,5,5,5,5,0,,0,5,5,5,5,5,0
,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0
,0,5,5,1,5,5,6,6,6,5,5,2,5,5,0
,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0
,0,5,5,5,5,5,6,0,6,5,5,5,5,5,0
,0,0,0,6,0,6,5,5,5,6,0,6,0,0,0
,,,0,6,0,0,5,6,5,0,0,6,0,,
,0,0,0,6,0,6,5,5,5,6,0,6,0,0,0
,0,5,5,5,5,5,6,0,6,5,5,5,5,5,0
,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0
,0,5,5,3,5,5,6,6,6,5,5,4,5,5,0
,0,5,5,5,5,5,0,0,0,5,5,5,5,5,0
,0,5,5,5,5,5,0,,0,5,5,5,5,5,0
,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
