CENTER_POS,8,0,8,,,,,,16,16,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,5,5,5,5,5,5,5,5,5,5,5,5,,,,,0,,y
0,5,5,5,5,5,5,5,5,5,5,3,5,,,,,0,,y
0,5,5,5,5,5,5,5,5,5,5,5,5,,,,,0,,y
0,5,5,5,5,5,5,5,7,0,5,5,5,,,,,0,,y
0,5,5,5,5,5,0,0,0,0,0,0,,5,5,5,5,0,,y
0,5,5,5,5,0,5,5,0,7,5,5,0,5,5,4,5,0,,y
0,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,0,,y
0,5,5,5,0,0,8,5,5,5,5,0,0,8,5,5,5,0,,y
0,5,5,5,8,0,0,5,5,5,5,8,0,0,5,5,5,0,,y
0,5,1,5,5,0,5,5,5,5,5,5,0,5,5,5,5,0,,y
0,5,5,5,5,0,5,5,7,0,5,5,0,5,5,5,5,0,,y
0,5,5,5,5,,0,0,0,0,0,0,5,5,5,5,5,0,,y
0,,,,,5,5,5,5,7,5,5,5,5,5,5,5,0,,y
0,,,,,5,5,5,5,5,5,5,5,5,5,5,5,0,,y
0,,,,,5,2,5,5,5,5,5,5,5,5,5,5,0,,y
0,,,,,5,5,5,5,5,5,5,5,5,5,5,5,0,,y
0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,
,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
